4,5,0,6,4,10,1,0,0,40,38,70,13,0
7,7,28,8,5,13,2,0,0,45,39,55,1,0
5,1,31,1,6,12,0,0,0,45,38,33,39,0
6,6,37,14,4,6,1,0,0,27,19,90,0,0
7,1,19,10,1,3,2,0,0,11,7,46,17,0
7,2,39,0,4,0,0,0,0,27,21,62,32,0
1,7,37,4,4,6,4,0,0,22,10,37,7,0
1,3,37,9,5,5,0,0,0,15,2,68,16,0
7,2,11,15,1,7,2,0,0,18,16,15,39,0
7,3,27,9,3,5,2,0,0,29,24,21,19,0
4,6,12,9,0,3,3,0,0,3,0,42,5,0
9,2,31,14,4,12,2,0,0,23,14,8,34,0
4,5,39,7,3,13,5,0,0,24,15,39,13,0
7,6,37,15,1,4,3,0,0,9,3,47,19,0
6,4,30,13,6,2,1,0,0,24,11,54,25,0
7,5,1,0,2,11,3,0,0,17,15,93,30,0
2,3,39,11,6,6,2,0,0,26,12,67,29,0
2,5,5,10,6,10,1,0,0,22,10,89,1,0
4,0,17,13,4,9,2,0,0,30,22,19,6,0
1,5,11,6,4,7,1,0,0,31,25,16,20,0
6,6,3,5,1,12,2,0,0,4,1,70,27,0
6,0,24,12,6,2,0,0,0,36,27,88,26,0
5,4,0,5,1,1,3,0,0,21,21,73,24,0
4,5,1,6,4,13,0,0,0,24,19,51,38,0
4,3,35,15,3,3,5,0,0,18,7,55,8,0
6,2,9,12,3,4,5,0,0,26,19,17,17,0
7,0,19,7,1,2,3,0,0,11,7,70,22,0
4,5,3,3,5,9,5,0,0,38,31,28,39,0
6,5,16,14,2,6,1,0,0,8,1,24,10,0
7,1,35,4,5,0,3,0,0,11,0,1,17,0
8,0,17,5,6,0,0,0,0,18,6,86,19,0
2,5,5,5,2,8,5,0,0,12,5,15,39,0
2,3,20,6,0,0,5,0,0,14,11,64,14,0
3,0,17,7,4,3,1,0,0,12,2,71,31,0
7,0,16,1,5,9,3,0,0,14,2,65,34,0
4,4,20,11,2,4,5,0,0,14,7,67,35,0
9,4,6,11,1,7,5,0,0,20,18,45,19,0
3,3,13,13,3,2,4,0,0,11,1,96,7,0
7,5,4,11,3,8,2,0,0,10,3,81,17,0
8,7,27,2,5,5,5,0,0,21,9,78,11,0
7,7,39,1,2,7,2,0,0,19,15,53,26,0
5,0,30,12,6,1,2,0,0,32,19,32,1,0
7,7,36,13,5,1,5,0,0,19,5,69,6,0
6,6,26,11,0,7,5,0,0,31,32,82,0,0
1,5,19,9,2,7,2,0,0,30,27,45,4,0
8,7,2,3,3,5,1,0,0,16,12,82,10,0
1,1,2,6,6,4,0,0,0,27,16,55,0,0
2,4,29,6,5,7,0,0,0,26,17,52,39,0
7,2,0,2,2,6,4,0,0,24,23,97,36,0
2,1,35,3,1,6,3,0,0,22,18,7,23,0
6,0,6,11,5,12,4,0,0,33,24,39,30,0
3,5,2,14,2,10,5,0,0,25,20,23,9,0
8,1,17,9,2,9,2,0,0,38,39,82,18,0
4,6,38,10,1,2,1,0,0,14,9,6,15,0
8,3,14,9,3,10,4,0,0,11,3,76,38,0
7,1,21,2,5,0,1,0,0,44,39,65,6,0
1,2,30,13,1,8,1,0,0,25,24,85,32,0
3,2,37,14,0,6,1,0,0,14,10,3,22,0
2,6,25,13,4,12,4,0,0,26,17,78,37,0
6,6,28,4,0,7,1,0,0,26,29,48,30,0
4,6,14,12,4,9,5,0,0,19,8,9,38,0
3,5,10,6,5,8,2,0,0,40,35,92,39,0
2,0,38,15,3,3,4,0,0,28,20,61,32,0
2,7,22,15,0,5,1,0,0,4,4,97,15,0
3,7,5,8,0,6,2,0,0,5,3,23,28,0
4,7,16,2,1,11,2,0,0,7,3,44,17,0
7,1,33,7,3,3,0,0,0,17,11,67,36,0
1,7,35,5,5,6,1,0,0,22,11,83,12,0
5,0,35,11,6,5,5,0,0,47,36,33,18,0
6,0,0,3,3,2,4,0,0,9,0,49,3,0
8,2,16,9,3,2,5,0,0,31,25,37,6,0
4,5,2,4,6,8,3,0,0,22,10,88,10,0
9,3,11,3,5,5,2,0,0,24,16,77,24,0
6,2,33,13,4,12,3,0,0,23,14,84,30,0
5,7,25,9,0,1,3,0,0,0,0,73,24,0
1,3,8,2,1,4,0,0,0,11,10,97,31,0
6,0,22,10,5,4,2,0,0,34,27,16,19,0
1,2,3,3,4,13,5,0,0,13,2,91,15,0
4,5,24,9,5,13,3,0,0,25,15,73,39,0
2,6,11,13,1,12,4,0,0,10,5,73,28,0
3,6,9,14,6,2,0,0,0,16,3,86,16,0
1,2,4,9,0,2,3,0,0,8,6,53,32,0
8,2,20,3,5,12,1,0,0,23,14,44,38,0
9,0,24,5,4,5,3,0,0,25,17,64,16,0
9,3,38,5,3,6,0,0,0,13,5,5,16,0
9,4,7,10,1,8,5,0,0,22,21,48,39,0
8,6,38,1,2,11,4,0,0,19,13,59,0,0
6,6,32,1,4,7,4,0,0,19,8,45,3,0
9,5,15,6,5,9,0,0,0,13,2,42,2,0
2,1,20,11,1,9,0,0,0,28,29,77,23,0
